employee_id,week_start_date,role,team,country,culture_cluster,total_emails_sent,total_emails_received,avg_email_reply_time_min,total_slack_msgs_sent,after_hours_msgs_count,num_meetings,total_meeting_hours,back_to_back_meeting_blocks,unique_contacts_count,degree_centrality,betweenness_centrality,isolation_score,burnout_label,z_after_hours_within_country,z_reply_time_within_country,z_meeting_load_within_country
E001,2025-01-06,Designer,Data,UK,Western,45,42,92.66909883352423,251,6,9,17.796064077536958,3,18,0.09045226130653267,0.006706554637273293,0.9095477386934674,1,-0.45616368213489195,0.5779875538967696,1.339354482355582
E002,2025-01-06,Manager,Product,Singapore,East_Asia,46,38,93.69945862504102,174,0,7,13.38856235379514,1,22,0.11055276381909548,0.027959785408011383,0.8894472361809045,1,-1.9521202001279314,-0.5211616231730084,0.30757106875982265
E003,2025-01-06,Analyst,Engineering,Japan,East_Asia,29,23,211.2977069122544,146,14,4,10.278086377374088,2,17,0.08542713567839195,0.00586759093262197,0.914572864321608,1,-0.094823747812135,1.400333234280934,-0.5292244754911851
E004,2025-01-06,Developer,Sales,Japan,East_Asia,44,35,149.7907187572353,123,25,10,5.761445355220497,3,17,0.08542713567839195,0.005825333708846639,0.914572864321608,1,1.6902453790825207,-0.3336879108779581,-1.3559034647763473
E005,2025-01-06,Designer,Engineering,UK,Western,42,15,23.51348828855493,171,12,11,9.321758588058797,1,10,0.05025125628140704,1.1865703962551838e-05,0.949748743718593,0,0.5761471816542428,-1.5706340141249138,-0.27006574510480547
E006,2025-01-06,Developer,Engineering,UK,Western,31,38,106.99927791766206,180,0,11,7.424588597918417,0,19,0.09547738693467336,0.02625262080963636,0.9045226130653267,0,-1.4884745459240267,1.023217255596389,-0.6303718210249897
E007,2025-01-06,Analyst,Engineering,Singapore,East_Asia,52,58,80.62738668720765,141,13,16,9.60412881077355,2,14,0.07035175879396985,0.014416223212044249,0.9296482412060302,0,0.05119816676523537,-0.8951646882401835,-0.39748173292094324
E008,2025-01-06,Analyst,Engineering,Japan,East_Asia,25,57,207.4684009999788,155,20,13,9.774401226974378,3,16,0.08040201005025126,0.02536356681658899,0.9195979899497487,1,0.8788503214031318,1.2923764374624573,-0.6214137659413345
E009,2025-01-06,Analyst,Product,UK,Western,39,68,10.0,209,8,10,11.458803882677511,0,16,0.08040201005025126,0.0037822625303254825,0.9195979899497487,0,-0.112060060871847,-1.9904896435841741,0.1357968861667274
E010,2025-01-06,Analyst,Sales,Japan,East_Asia,44,67,141.86054236042236,111,10,16,14.643755548298422,1,11,0.05527638190954774,0.002186180878886833,0.9447236180904522,1,-0.7439397939556462,-0.557257524175492,0.2698221965979554
E011,2025-01-06,Developer,Data,India,South_Asia,41,59,95.42814171429266,140,15,2,13.38060138532288,2,25,0.12562814070351758,0.005272965771984928,0.8743718592964824,1,-0.5749301017916889,-0.7295419959849883,-0.11353395871696784
E012,2025-01-06,Analyst,Engineering,Singapore,East_Asia,37,23,95.27741370321243,139,7,11,14.020254284072692,5,16,0.08040201005025126,9.591190495713108e-05,0.9195979899497487,1,-0.87341031026238,-0.4760149900622792,0.4252574173713826
E013,2025-01-06,Designer,HR,India,South_Asia,43,43,52.84300746453354,158,18,23,11.638195176094387,2,19,0.09547738693467336,0.0035653373973763784,0.9045226130653267,1,-0.11045714573007273,-1.958752097689232,-0.4138028325495155
E014,2025-01-06,Developer,Engineering,India,South_Asia,25,62,146.3176561440371,207,12,17,4.890744686038596,3,14,0.07035175879396985,0.0005407323158359041,0.9296482412060302,1,-1.039403057853305,0.739372128859401,-1.576591021181501
E015,2025-01-06,Analyst,Engineering,UK,Western,28,36,73.48779777806745,129,0,12,5.688481431369476,3,17,0.08542713567839195,0.01070028504863106,0.914572864321608,0,-1.4884745459240267,-0.017963473441381515,-0.9600892231592459
E016,2025-01-06,QA,Engineering,Singapore,East_Asia,58,33,98.72784693280136,208,4,12,17.93571377141214,0,14,0.07035175879396985,0.0009795003399388968,0.9296482412060302,1,-1.3357145487761877,-0.37729516891893117,1.1547207967737527
E017,2025-01-06,Developer,Data,India,South_Asia,43,56,76.70672511926713,80,21,11,13.152464251729382,2,19,0.09547738693467336,0.0055642713382124676,0.9045226130653267,1,0.3540158103315434,-1.2699313783889905,-0.15284883249363823
E018,2025-01-06,Analyst,Engineering,USA,Western,42,49,34.99770036907712,271,12,6,15.282768043169149,0,14,0.07035175879396985,0.0020719264323649893,0.9296482412060302,1,0.20152934948000095,-0.81406227590023,0.665718674358065
E019,2025-01-06,Developer,Sales,UK,Western,53,32,103.71816452355127,184,12,19,8.123059419985648,0,14,0.07035175879396985,0.0024707307142208925,0.9296482412060302,1,0.5761471816542428,0.9212751145299458,-0.49771988031768
E020,2025-01-06,Analyst,Engineering,USA,Western,30,43,71.94031911858254,176,14,12,19.267670385786584,2,20,0.10050251256281408,0.006157899149147725,0.8994974874371859,1,0.5157247132362232,0.2594064803179547,1.4354587464418864
E021,2025-01-06,Manager,Sales,UK,Western,47,32,32.51876256786107,188,6,19,17.216188122867727,3,28,0.1407035175879397,0.06974370732090199,0.8592964824120604,1,-0.45616368213489195,-1.2908457743856927,1.2292258007755614
E022,2025-01-06,Developer,Engineering,UK,Western,21,38,99.97395780132153,172,0,11,11.276586898644183,0,20,0.10050251256281408,0.031531072610951685,0.8994974874371859,1,-1.4884745459240267,0.8049449533887425,0.1011906638333237
E023,2025-01-06,Developer,HR,Singapore,East_Asia,40,27,122.52255761218991,193,18,15,3.3116531602145436,0,20,0.10050251256281408,0.008929394777442657,0.8994974874371859,1,0.8217052309549149,0.30349168482546274,-1.569791283742753
E024,2025-01-06,Designer,Data,USA,Western,46,52,194.84560217291525,194,16,15,14.056956256528991,1,19,0.09547738693467336,0.0027966631076879298,0.9045226130653267,1,0.8299200769924453,3.830755393820325,0.4289358445962121
E025,2025-01-06,Developer,HR,Singapore,East_Asia,30,41,93.01227582598138,164,25,2,13.631300951872566,0,11,0.05527638190954774,0.001357394980815112,0.9447236180904522,1,1.9004151208204663,-0.5408225058802026,0.35279409268268586
E026,2025-01-06,Developer,Product,India,South_Asia,53,45,82.27893277247429,117,22,6,12.982292947909874,2,23,0.11557788944723618,0.019893073125191237,0.8844221105527639,1,0.5088401290187488,-1.1090908865886229,-0.18217445443292465
E027,2025-01-06,Developer,Engineering,India,South_Asia,65,54,49.120009466983745,171,14,14,7.937396307836497,1,15,0.07537688442211056,0.0040672924493377225,0.9246231155778895,1,-0.7297544204788943,-2.0662155782637655,-1.0515615265710425
E028,2025-01-06,Developer,Data,Japan,East_Asia,50,26,148.2924567455668,131,10,19,13.074908554804777,0,19,0.09547738693467336,0.01559260748388203,0.9045226130653267,1,-0.7439397939556462,-0.37592730654912304,-0.01732323748969727
